id,predict_0,predict_1,predict_2
2,0.8,0.2,0.0
3,0.2,0.8,0.0
4,1.0,0.0,0.0
7,0.4,0.5,0.1
9,0.0,0.5,0.5
10,1.0,0.0,0.0
11,0.5,0.5,0.0
12,0.6,0.4,0.0
14,0.1,0.9,0.0
15,1.0,0.0,0.0
16,0.2,0.8,0.0
17,0.7,0.3,0.0
18,1.0,0.0,0.0
21,0.0,0.9,0.1
22,0.9,0.1,0.0
25,0.7,0.3,0.0
30,1.0,0.0,0.0
32,0.7,0.3,0.0
34,0.4,0.4,0.2
35,0.1,0.9,0.0
36,0.7,0.3,0.0
37,1.0,0.0,0.0
39,1.0,0.0,0.0
40,0.8,0.2,0.0
41,0.9,0.1,0.0
42,0.1,0.9,0.0
45,0.0,0.6,0.4
46,1.0,0.0,0.0
47,0.9,0.1,0.0
48,0.0,0.1,0.9
50,0.3,0.6,0.1
51,0.2,0.8,0.0
52,1.0,0.0,0.0
56,0.7,0.3,0.0
58,0.5,0.5,0.0
62,1.0,0.0,0.0
63,1.0,0.0,0.0
65,1.0,0.0,0.0
66,0.0,0.5,0.5
70,0.0,0.7,0.3
71,1.0,0.0,0.0
72,0.5,0.4,0.1
73,1.0,0.0,0.0
74,0.2,0.8,0.0
76,0.9,0.1,0.0
77,0.7,0.3,0.0
78,0.3,0.3,0.4
82,0.2,0.8,0.0
85,0.1,0.3,0.6
86,1.0,0.0,0.0
87,0.7,0.3,0.0
95,1.0,0.0,0.0
96,0.6,0.1,0.3
97,0.9,0.1,0.0
98,1.0,0.0,0.0
100,1.0,0.0,0.0
101,0.4,0.6,0.0
102,1.0,0.0,0.0
103,0.5,0.5,0.0
106,0.4,0.0,0.6
108,0.0,1.0,0.0
109,0.8,0.2,0.0
110,0.7,0.3,0.0
113,0.1,0.5,0.4
114,1.0,0.0,0.0
116,1.0,0.0,0.0
117,0.6,0.4,0.0
118,0.8,0.2,0.0
121,1.0,0.0,0.0
122,0.8,0.2,0.0
123,0.7,0.3,0.0
124,1.0,0.0,0.0
126,0.4,0.6,0.0
127,0.8,0.2,0.0
128,1.0,0.0,0.0
133,0.8,0.2,0.0
136,0.0,0.4,0.6
137,0.6,0.4,0.0
140,0.7,0.3,0.0
141,0.3,0.7,0.0
143,0.7,0.1,0.2
144,1.0,0.0,0.0
145,0.0,0.0,1.0
147,0.9,0.0,0.1
148,0.5,0.5,0.0
150,0.4,0.6,0.0
151,0.9,0.1,0.0
153,1.0,0.0,0.0
155,1.0,0.0,0.0
156,0.8,0.2,0.0
160,0.2,0.8,0.0
163,0.0,0.5,0.5
164,0.9,0.1,0.0
165,0.5,0.5,0.0
166,1.0,0.0,0.0
167,0.7,0.2,0.1
168,0.8,0.2,0.0
169,1.0,0.0,0.0
170,0.0,0.0,1.0
171,0.1,0.9,0.0
172,0.0,0.0,1.0
173,0.6,0.4,0.0
174,0.2,0.5,0.3
175,1.0,0.0,0.0
176,0.2,0.6,0.2
180,1.0,0.0,0.0
181,0.0,0.6,0.4
182,0.3,0.7,0.0
185,0.2,0.8,0.0
186,1.0,0.0,0.0
187,0.9,0.1,0.0
189,0.2,0.7,0.1
192,0.1,0.9,0.0
194,1.0,0.0,0.0
195,0.9,0.1,0.0
197,1.0,0.0,0.0
198,0.9,0.1,0.0
201,1.0,0.0,0.0
202,1.0,0.0,0.0
203,1.0,0.0,0.0
205,0.8,0.2,0.0
208,0.9,0.1,0.0
209,0.4,0.6,0.0
